Año,Local_ID,Local,Resultado_L,Resultado_V,Visitante_ID,Visitante,Fecha/Grupo,Evento
1973,13,Atlanta,1,0,17,Boca Juniors,Fecha 12,Metropolitano 1973 
1973,17,Boca Juniors,4,1,13,Atlanta, Grupo B,Nacional 1973
1972,17,Boca Juniors,3,1,13,Atlanta,Fecha 24,Metropolitano 1972 
1972,13,Atlanta,2,1,17,Boca Juniors, Fecha 7,Metropolitano 1972
1971,17,Boca Juniors,4,0,13,Atlanta,Fecha 35,Metropolitano 1971 
1971,13,Atlanta,1,3,17,Boca Juniors,Fecha 16,Metropolitano 1971 
1971,13,Atlanta,1,1,17,Boca Juniors, Grupo B,Nacional 1971
1970,17,Boca Juniors,4,0,13,Atlanta, Fecha 4,Metropolitano 1970
1970,13,Atlanta,1,3,17,Boca Juniors, Grupo B,Nacional 1970
1970,17,Boca Juniors,2,0,13,Atlanta, Grupo B,Nacional 1970
1969,13,Atlanta,0,2,17,Boca Juniors, Grupo A,Metropolitano 1969
1969,17,Boca Juniors,2,0,13,Atlanta, Grupo A,Metropolitano 1969
1968,17,Boca Juniors,0,0,13,Atlanta, Grupo A,Metropolitano 1968
1968,13,Atlanta,0,0,17,Boca Juniors, Grupo A,Metropolitano 1968
1967,13,Atlanta,1,1,17,Boca Juniors, Grupo A,Metropolitano 1967
1967,17,Boca Juniors,2,2,13,Atlanta, Grupo A,Metropolitano 1967
1966,13,Atlanta,0,0,17,Boca Juniors,Fecha 37,Campeonato 1966 
1966,17,Boca Juniors,3,0,13,Atlanta,Fecha 18,Campeonato 1966 
1965,17,Boca Juniors,3,1,13,Atlanta,Fecha 34,Campeonato 1965 
1965,13,Atlanta,0,1,17,Boca Juniors,Fecha 17,Campeonato 1965 
1964,13,Atlanta,0,2,17,Boca Juniors,Fecha 16,Campeonato 1964 
1964,17,Boca Juniors,2,4,13,Atlanta, Fecha 1,Campeonato 1964
1963,13,Atlanta,0,1,17,Boca Juniors,Fecha 26,Campeonato 1963 
1963,17,Boca Juniors,0,3,13,Atlanta,Fecha 13,Campeonato 1963 
1962,17,Boca Juniors,1,0,13,Atlanta,Fecha 19,Campeonato 1962 
1962,13,Atlanta,0,1,17,Boca Juniors, Fecha 4,Campeonato 1962
1961,13,Atlanta,3,2,17,Boca Juniors,Fecha 28,Campeonato 1961 
1961,17,Boca Juniors,2,3,13,Atlanta,Fecha 13,Campeonato 1961 
1960,13,Atlanta,1,2,17,Boca Juniors,Fecha 28,Campeonato 1960 
1960,17,Boca Juniors,4,4,13,Atlanta,Fecha 13,Campeonato 1960 
1959,17,Boca Juniors,2,2,13,Atlanta,Fecha 28,Campeonato 1959 
1959,13,Atlanta,1,1,17,Boca Juniors,Fecha 13,Campeonato 1959 
1958,13,Atlanta,3,3,17,Boca Juniors,Fecha 26,Campeonato 1958 
1958,17,Boca Juniors,2,1,13,Atlanta,Fecha 11,Campeonato 1958 
1957,17,Boca Juniors,4,0,13,Atlanta,Fecha 20,Campeonato 1957 
1957,13,Atlanta,2,1,17,Boca Juniors, Fecha 5,Campeonato 1957
1952,17,Boca Juniors,2,2,13,Atlanta,Fecha 28,Campeonato 1952 
1952,13,Atlanta,0,0,17,Boca Juniors,Fecha 13,Campeonato 1952 
1951,17,Boca Juniors,0,1,13,Atlanta,Fecha 27,Campeonato 1951 
1951,13,Atlanta,1,1,17,Boca Juniors,Fecha 10,Campeonato 1951 
1950,17,Boca Juniors,3,3,13,Atlanta,Fecha 32,Campeonato 1950 
1950,17,Boca Juniors,3,3,13,Atlanta,Fecha 31,Campeonato 1950 
1950,13,Atlanta,2,2,17,Boca Juniors,Fecha 14,Campeonato 1950 
1949,13,Atlanta,1,0,17,Boca Juniors,Fecha 25,Campeonato 1949 
1949,17,Boca Juniors,6,1,13,Atlanta, Fecha 8,Campeonato 1949
1947,13,Atlanta,3,3,17,Boca Juniors,Fecha 24,Campeonato 1947 
1947,17,Boca Juniors,2,0,13,Atlanta, Fecha 9,Campeonato 1947
1946,13,Atlanta,0,1,17,Boca Juniors,Fecha 16,Campeonato 1946 
1946,17,Boca Juniors,2,2,13,Atlanta, Fecha 1,Campeonato 1946
1945,17,Boca Juniors,2,2,13,Atlanta,Fecha 30,Campeonato 1945 
1945,13,Atlanta,3,3,17,Boca Juniors,Fecha 15,Campeonato 1945 
1944,17,Boca Juniors,2,0,13,Atlanta,Fecha 25,Campeonato 1944 
1944,13,Atlanta,1,3,17,Boca Juniors,Fecha 10,Campeonato 1944 
1943,13,Atlanta,1,1,17,Boca Juniors,Fecha 25,Campeonato 1943 
1943,17,Boca Juniors,3,1,13,Atlanta,Fecha 10,Campeonato 1943 
1942,17,Boca Juniors,4,1,13,Atlanta,Fecha 26,Campeonato 1942 
1942,13,Atlanta,1,2,17,Boca Juniors,Fecha 11,Campeonato 1942 
1941,13,Atlanta,2,2,17,Boca Juniors,Fecha 17,Campeonato 1941 
1941,17,Boca Juniors,7,2,13,Atlanta, Fecha 2,Campeonato 1941
1940,13,Atlanta,0,3,17,Boca Juniors,Fecha 31,Campeonato 1940 
1940,17,Boca Juniors,4,1,13,Atlanta,Fecha 14,Campeonato 1940 
1939,17,Boca Juniors,3,0,13,Atlanta,Fecha 23,Campeonato 1939 
1939,13,Atlanta,2,1,17,Boca Juniors, Fecha 6,Campeonato 1939
1938,13,Atlanta,1,2,17,Boca Juniors,Fecha 34,Campeonato 1938 
1938,17,Boca Juniors,4,1,13,Atlanta,Fecha 17,Campeonato 1938 
1937,13,Atlanta,2,3,17,Boca Juniors,Fecha 19,Campeonato 1937 
1937,17,Boca Juniors,2,1,13,Atlanta, Fecha 1,Campeonato 1937
1936,13,Atlanta,2,1,17,Boca Juniors, Fecha 7,Campeonato 1936
1936,17,Boca Juniors,2,2,13,Atlanta, Fecha 7,Copa de Honor 1936
1935,17,Boca Juniors,8,0,13,Atlanta,Fecha 23,Campeonato 1935 
1935,13,Atlanta,0,2,17,Boca Juniors, Fecha 6,Campeonato 1935
1933,17,Boca Juniors,3,1,13,Atlanta,Fecha 28,Campeonato 1933 
1933,13,Atlanta,1,2,17,Boca Juniors,Fecha 11,Campeonato 1933 
1932,17,Boca Juniors,2,1,13,Atlanta,Fecha 18,Campeonato 1932 
1932,13,Atlanta,2,5,17,Boca Juniors, Fecha 1,Campeonato 1932
1931,17,Boca Juniors,5,2,13,Atlanta,Fecha 31,Campeonato 1931 
